Param Val,ticks,fibrosis-score,alv-count,final-thy1n,final-thy1p,Setup Commands
3.499,1095.0,1.0,0.1602446483180428,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.44328151454517467,13.0,137.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.06737099984688409,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.10689707906407708,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.11031211750305997,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.2946660553263029,7.0,143.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.2060393472624676,4.0,146.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.04805035308566165,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.08011732016054338,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.1742074484456756,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.30818767249310025,69.0,81.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.09658040665434381,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.22787136294027566,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.35272504592774034,35.0,115.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.18187357197258186,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.5552347667527732,43.0,107.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.24228536510846319,19.0,131.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,2.0,0.33005833589192507,57.0,93.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.03484107579462103,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
3.499,1095.0,1.0,0.0397239263803681,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.499]"
