Param Val,ticks,fibrosis-score,alv-count,final-thy1n,final-thy1p,Setup Commands
3.363,1095.0,3.0,0.9578432870016802,150.0,0.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.17144170369235484,22.0,128.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.04200913242009133,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.06555368356563027,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,2.0,0.3836996336996337,68.0,82.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.14237496164467628,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.06003666361136572,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.19908186687069626,31.0,119.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.06395705521472393,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.0826219512195122,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.08939231593448645,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.0736392742796158,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.11350023037935801,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.045998160073597055,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.08823529411764706,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.033155080213903745,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.10924881913758952,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.01240238860817639,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,2.0,0.30805832693783575,1.0,149.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.07389238080637743,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,2.0,0.3125862333282232,42.0,108.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,2.0,0.3303803268672674,71.0,79.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.1733495959749962,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.040872771972956363,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.0432325084020776,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.09268068129507442,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.16211265455655624,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.07295019157088123,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.035403631924309474,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,2.0,0.38381837574280053,51.0,99.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.03968253968253968,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.0735406771870691,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.052864782276546986,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.08026295673444428,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.07337622549019608,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.363,1095.0,1.0,0.03332823727258829,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.363]"
3.175,1095.0,1.0,0.18087063151440833,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.01707429626211352,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.21542918127763377,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.11945756513789425,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.019821757836508913,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,2.0,0.23850969613681477,7.0,143.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.03929996929689899,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.028134556574923548,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.11385836385836386,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.10724106324472961,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.09064461797580768,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.03441945846718678,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,2.0,0.5496789972485479,29.0,121.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
3.175,1095.0,1.0,0.1393542491623515,0.0,150.0,"[90, 10, 50, 50, 1, 0.1, 700, 166.8, 3.175]"
