Param Val,ticks,fibrosis-score,alv-count,final-thy1n,final-thy1p,Setup Commands
0.635,1095.0,3.0,0.8892284186401833,150.0,0.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.2892410850350503,4.0,146.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.32558850504432896,3.0,147.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.2982321291314374,5.0,145.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.5688970363580813,57.0,93.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.48289090072119073,93.0,57.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.21321275291232372,11.0,139.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.037008716929194066,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.04979442667884879,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.1049638850468726,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.19302539002753136,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.2086408364083641,3.0,147.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.07518337408312958,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.10105327430926576,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.23771863117870723,28.0,122.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.2610497237569061,18.0,132.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.1953232462173315,1.0,149.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.07096873083997547,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.37391171528944556,11.0,139.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.3648422015551151,9.0,141.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.5512052817442039,107.0,43.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.07028265851795264,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.025916270510657875,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.09862595419847328,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.06906584992343032,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.050733496332518335,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.07092632222561908,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.4648318042813456,57.0,93.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.12708110585000765,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.10988674625038261,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.23439177788004295,1.0,149.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.2142747974935045,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.047203065134099616,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,1.0,0.1351557727550397,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.2705157813702848,23.0,127.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
0.635,1095.0,2.0,0.3742152809676925,28.0,122.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 0.635]"
1.102,1095.0,1.0,0.19071691176470587,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 1.102]"
1.102,1095.0,1.0,0.11547308694985432,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 1.102]"
1.102,1095.0,1.0,0.13948497854077252,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 1.102]"
1.102,1095.0,1.0,0.04555948899492073,0.0,150.0,"[90, 10, 50, 50, 1, 0.2, 700, 166.8, 1.102]"
